1	1	Департамент экономики
2	1	Департамент по недропользованию и развитию нефтегазодобывающего комплекса
3	1	Департамент энергетики
4	1	Департамент по науке и инновационной политике
5	1	Департамент по высшему профессиональному образованию
6	1	Департамент государственной гражданской службы
7	1	Департамент информационной политики
8	1	Департамент потребительского рынка
9	1	Департамент международных и региональных связей
10	1	Департамент экспертно-аналитической работы
11	1	Департамент по работе с органами местного самоуправления
12	1	Департамент по взаимодействию с законодательными и представительными органами власти
13	1	Департамент развития информационного общества
14	1	Комитет общественной безопасности
15	1	Комитет по мобилизационной подготовке
16	1	Комитет по вопросам гражданской обороны и чрезвычайным ситуациям
17	1	Комитет по общим вопросам
18	1	Комитет по государственно-правовым вопросам
19	1	Комитет организационной работы и протокола
20	1	Комитет по атомной промышленности
21	1	Финансово-хозяйственное управление
22	1	Контрольно-ревизионное управление
23	1	Отдел по обеспечению деятельности Совета безопасности
24	1	Отдел по документальной связи и режиму
26	2	Департамент финансов
27	2	Департамент государственного заказа
28	2	Департамент тарифного регулирования
29	2	Департамент промышленности и развития предпринимательства Томской области
30	2	Департамент транспорта, дорожной деятельности и связи
31	2	Департамент лесного хозяйства
32	2	Департамент по социально-экономическому развитию села
33	2	Департамент природных ресурсов и охраны окружающей среды
34	2	Департамент по культуре и туризму
35	2	Департамент по управлению государственной собственностью
36	2	Департамент инвестиций
37	2	Департамент ЖКХ и государственного жилищного надзора
38	2	Департамент архитектуры и строительства
39	2	Департамент общего образования
40	2	Департамент здравоохранения
41	2	Департамент социальной защиты населения
42	2	Департамент труда и занятости населения
43	2	Департамент по вопросам семьи и детей
44	2	Департамент по молодежной политике, физической культуре и спорту
45	2	Департамент профессионального образования Томской области
46	2	Департамент ЗАГС Томской области
47	2	Комитет по обеспечению деятельности мировых судей
56	2	Представительство Томской области при Правительстве Российской Федерации
55	2	Главная инспекция государственного строительного надзора
54	2	Инспекция государственного технического надзора
53	2	Управление охотничьего хозяйства
52	2	Управление ветеринарии
51	2	Комитет государственного финансового контроля
50	2	Комитет рыбного хозяйства
49	2	Комитет по лицензированию
48	2	Комитет по контролю, надзору и лицензированию в сфере образования
\.


