1	Департамент экономики	0
2	Департамент по недропользованию и развитию нефтегазодобывающего комплекса	0
3	Департамент энергетики	0
4	Департамент по науке и инновационной политике	0
5	Департамент по высшему профессиональному образованию	0
6	Департамент государственной гражданской службы	0
7	Департамент информационной политики	0
8	Департамент потребительского рынка	0
9	Департамент международных и региональных связей	0
10	Департамент экспертно-аналитической работы	0
11	Департамент по работе с органами местного самоуправления	0
12	Департамент по взаимодействию с законодательными и представительными органами власти	0
13	Департамент развития информационного общества	0
14	Комитет общественной безопасности	0
15	Комитет по мобилизационной подготовке	0
16	Комитет по вопросам гражданской обороны и чрезвычайным ситуациям	0
17	Комитет по общим вопросам	0
18	Комитет по государственно-правовым вопросам	0
19	Комитет организационной работы и протокола	0
20	Комитет по атомной промышленности	0
21	Финансово-хозяйственное управление	0
22	Контрольно-ревизионное управление	0
23	Отдел по обеспечению деятельности Совета безопасности	0
24	Отдел по документальной связи и режиму	0
25	Департамент финансов	0
26	Департамент государственного заказа	0
27	Департамент тарифного регулирования	0
28	Департамент промышленности и развития предпринимательства Томской области	0
29	Департамент транспорта, дорожной деятельности и связи	0
30	Департамент лесного хозяйства	0
31	Департамент по социально-экономическому развитию села	0
32	Департамент природных ресурсов и охраны окружающей среды	0
33	Департамент по культуре и туризму	0
34	Департамент по управлению государственной собственностью	0
35	Департамент инвестиций	0
36	Департамент ЖКХ и государственного жилищного надзора	0
37	Департамент архитектуры и строительства	0
38	Департамент общего образования	0
39	Департамент здравоохранения	0
40	Департамент социальной защиты населения	0
41	Департамент труда и занятости населения	0
42	Департамент по вопросам семьи и детей	0
43	Департамент по молодежной политике, физической культуре и спорту	0
44	Департамент профессионального образования Томской области	0
45	Департамент ЗАГС Томской области	0
46	Комитет по обеспечению деятельности мировых судей	0
47	Комитет по контролю, надзору и лицензированию в сфере образования	0
48	Комитет по лицензированию	0
49	Комитет рыбного хозяйства	0
50	Комитет государственного финансового контроля	0
51	Управление ветеринарии	0
52	Управление охотничьего хозяйства	0
53	Инспекция государственного технического надзора	0
54	Главная инспекция государственного строительного надзора	0
55	Представительство Томской области при Правительстве Российской Федерации	0
\.


